trade_date,stock_code,stock_name,source_weight_date,source_weight_pct,projected_weight_pct,base_close,close_price,share_factor,relative_value,cumulative_cash_dividend_per_base_share
20260701,300308.SZ,中际旭创,20260630,5.008,4.842835619379489,1270.0,1223.17,1.0,0.04823334929133859,0.0
20260701,300750.SZ,宁德时代,20260630,3.675,3.603763489104676,393.01,383.84,1.0,0.03589252181878323,0.0
20260701,300502.SZ,新易盛,20260630,2.992,2.848497285749853,607.0,575.56,1.0,0.02837027215815486,0.0
20260701,600519.SH,贵州茅台,20260630,2.62,2.6472794498841643,1185.49,1193.01,1.0,0.02636619625640031,0.0
20260701,601318.SH,中国平安,20260630,1.799,1.873999128518156,47.74,49.53,1.0,0.018664530791788855,0.0
20260701,603986.SH,兆易创新,20260630,1.925,1.8308314280209534,815.0,772.01,1.0,0.018234592024539878,0.0
20260701,688256.SH,寒武纪,20260630,1.772,1.656260177614577,1595.55,1485.33,1.0,0.01649590899689762,0.0
20260701,600036.SH,招商银行,20260630,1.554,1.5783029725718662,35.5,35.91,1.0,0.015719476056338024,0.0
20260701,601899.SH,紫金矿业,20260630,1.465,1.4691677009230046,25.14,25.11,1.0,0.014632517899761336,0.0
20260701,002371.SZ,北方华创,20260630,1.354,1.4375483793150678,884.56,935.36,1.0,0.01431759790178168,0.0
20260701,000333.SZ,美的集团,20260630,1.299,1.3365429978771783,75.53,77.4,1.0,0.013311611280285981,0.0
20260701,688008.SH,澜起科技,20260630,1.256,1.2854531384249919,309.9,315.89,1.0,0.012802769925782512,0.0
20260701,688012.SH,中微公司,20260630,1.242,1.2297201350736922,468.5,462.0,1.0,0.0122476840981857,0.0
20260701,002475.SZ,立讯精密,20260630,1.27,1.19978573358286,70.4,66.24,1.0,0.011949545454545452,0.0
20260701,600900.SH,长江电力,20260630,1.145,1.157012560862551,26.47,26.64,1.0,0.011523536078579526,0.0
20260701,688041.SH,海光信息,20260630,1.217,1.1546041564920815,370.3,349.9,1.0,0.011499549014312717,0.0
20260701,000725.SZ,京东方A,20260630,1.116,1.1321301874968313,8.68,8.77,1.0,0.011275714285714286,0.0
20260701,002384.SZ,东山精密,20260630,1.189,1.120818106502928,262.35,246.31,1.0,0.011163048980369737,0.0
20260701,688981.SH,中芯国际,20260630,1.144,1.117237235379165,158.82,154.48,1.0,0.011127384460395415,0.0
20260701,603259.SH,药明康德,20260630,1.089,1.0994621511993052,124.51,125.2,1.0,0.010950349369528552,0.0
20260701,600030.SH,中信证券,20260630,0.991,1.0206350353279003,28.73,29.47,1.0,0.010165252349460495,0.0
20260701,601166.SH,兴业银行,20260630,0.991,1.003418493700727,16.56,16.7,1.0,0.009993780193236716,0.0
20260701,601138.SH,工业富联,20260630,1.012,0.9858129638733174,72.15,70.0,1.0,0.009818433818433819,0.0
20260701,300059.SZ,东方财富,20260630,0.9119999999999999,0.9637630308517742,20.38,21.45,1.0,0.00959882237487733,0.0
20260701,600183.SH,生益科技,20260630,0.894,0.8530960693573927,173.4,164.8,1.0,0.008496608996539793,0.0
20260701,600276.SH,恒瑞医药,20260630,0.822,0.852918698372138,52.04,53.78,1.0,0.008494842428900846,0.0
20260701,300408.SZ,三环集团,20260630,0.792,0.8121638165719458,166.9,170.46,1.0,0.008088934691431996,0.0
20260701,601398.SH,工商银行,20260630,0.8089999999999999,0.8111218802844041,7.07,7.06,1.0,0.008078557284299858,0.0
20260701,002594.SZ,比亚迪,20260630,0.766,0.7783608323938971,79.7,80.66,1.0,0.007752265997490589,0.0
20260701,601211.SH,国泰海通,20260630,0.727,0.766837281205886,18.2,19.12,1.0,0.0076374945054945055,0.0
20260701,300476.SZ,胜宏科技,20260630,0.748,0.7085984342145714,346.43,326.86,1.0,0.007057451144531363,0.0
20260701,300274.SZ,阳光电源,20260630,0.8159999999999998,0.7054359822929452,159.02,136.92,1.0,0.00702595396805433,0.0
20260701,002463.SZ,沪电股份,20260630,0.728,0.6936785821716183,152.8,145.01,1.0,0.00690885340314136,0.0
20260701,300394.SZ,天孚通信,20260630,0.7,0.6617767157166093,302.68,285.0,1.0,0.006591119333950046,0.0
20260701,000988.SZ,华工科技,20260630,0.656,0.6191922942982623,184.61,173.55,1.0,0.00616698987053789,0.0
20260701,601288.SH,农业银行,20260630,0.617,0.6174533561171197,6.07,6.05,1.0,0.006149670510708402,0.0
20260701,601328.SH,交通银行,20260630,0.606,0.6093963189330788,6.43,6.44,1.0,0.0060694245723172625,0.0
20260701,301308.SZ,江波龙,20260630,0.632,0.6021331686744849,703.8,667.84,1.0,0.005997085535663541,0.0
20260701,600176.SH,中国巨石,20260630,0.619,0.5992451759025704,72.88,70.27,1.0,0.005968321899012075,0.0
20260701,000651.SZ,格力电器,20260630,0.594,0.595765373850784,37.5,37.46,1.0,0.005933664,0.0
20260701,688072.SH,拓荆科技,20260630,0.582,0.5843530196201812,832.0,832.0,1.0,0.00582,0.0
20260701,600919.SH,江苏银行,20260630,0.56,0.5737388508789212,10.78,11.0,1.0,0.005714285714285715,0.0
20260701,600150.SH,中国船舶,20260630,0.539,0.5636015102311742,33.79,35.19,1.0,0.00561332050902634,0.0
20260701,603993.SH,洛阳钼业,20260630,0.542,0.5497727492900275,17.55,17.73,1.0,0.005475589743589744,0.0
20260701,600887.SH,伊利股份,20260630,0.536,0.5460284137748265,23.96,24.31,1.0,0.0054382971619365604,0.0
20260701,600584.SH,长电科技,20260630,0.524,0.5418182485749562,103.55,106.64,1.0,0.005396365041042975,0.0
20260701,600522.SH,中天科技,20260630,0.586,0.5373668522933488,60.68,55.42,1.0,0.005352030323005933,0.0
20260701,603019.SH,中科曙光,20260630,0.555,0.5324035563364711,107.23,102.45,1.0,0.00530259722092698,0.0
20260701,000338.SZ,潍柴动力,20260630,0.518,0.5305915838291534,27.25,27.8,1.0,0.0052845504587155975,0.0
20260701,000858.SZ,五 粮 液,20260630,0.508,0.5136380005392569,74.0,74.52,1.0,0.005115697297297298,0.0
20260701,688521.SH,芯原股份,20260630,0.552,0.5108656431954676,371.14,342.1,1.0,0.005088085358624778,0.0
20260701,601816.SH,京沪高铁,20260630,0.4699999999999999,0.47294192715441996,4.53,4.54,1.0,0.004710375275938188,0.0
20260701,300124.SZ,汇川技术,20260630,0.445,0.459395457173491,66.33,68.2,1.0,0.004575456053067994,0.0
20260701,600309.SH,万华化学,20260630,0.45399999999999996,0.4550359224897142,68.41,68.29,1.0,0.00453203625200994,0.0
20260701,000100.SZ,TCL科技,20260630,0.428,0.4518814508190497,5.82,6.12,1.0,0.004500618556701031,0.0
20260701,601688.SH,华泰证券,20260630,0.426,0.4488802551147575,20.62,21.64,1.0,0.004470727449078564,0.0
20260701,002415.SZ,海康威视,20260630,0.443,0.44258009450925023,34.2,34.03,1.0,0.004407979532163742,0.0
