stock_code,stock_name,projected_weight_pct,closeweight_data_date,import_time
300832.SZ,新产业,0.062,2026-06-15,20260701-0918
300866.SZ,安克创新,0.09,2026-06-15,20260701-0918
300896.SZ,爱美客,0.051,2026-06-15,20260701-0918
300999.SZ,金龙鱼,0.055,2026-06-15,20260701-0918
301165.SZ,锐捷网络,0.031,2026-06-15,20260701-0918
301236.SZ,软通动力,0.091,2026-06-15,20260701-0918
301269.SZ,华大九天,0.08,2026-06-15,20260701-0918
301308.SZ,江波龙,0.484,2026-06-15,20260701-0918
302132.SZ,中航成飞,0.065,2026-06-15,20260701-0918
600000.SH,浦发银行,0.457,2026-06-15,20260701-0918
600009.SH,上海机场,0.108,2026-06-15,20260701-0918
600010.SH,包钢股份,0.196,2026-06-15,20260701-0918
600011.SH,华能国际,0.128,2026-06-15,20260701-0918
600015.SH,华夏银行,0.159,2026-06-15,20260701-0918
600016.SH,民生银行,0.324,2026-06-15,20260701-0918
600018.SH,上港集团,0.055,2026-06-15,20260701-0918
600019.SH,宝钢股份,0.187,2026-06-15,20260701-0918
600023.SH,浙能电力,0.089,2026-06-15,20260701-0918
600025.SH,华能水电,0.065,2026-06-15,20260701-0918
600026.SH,中远海能,0.116,2026-06-15,20260701-0918
600027.SH,华电国际,0.072,2026-06-15,20260701-0918
600028.SH,中国石化,0.262,2026-06-15,20260701-0918
600029.SH,南方航空,0.106,2026-06-15,20260701-0918
600030.SH,中信证券,0.944,2026-06-15,20260701-0918
600031.SH,三一重工,0.41,2026-06-15,20260701-0918
600036.SH,招商银行,1.736,2026-06-15,20260701-0918
600039.SH,四川路桥,0.078,2026-06-15,20260701-0918
600048.SH,保利发展,0.134,2026-06-15,20260701-0918
600050.SH,中国联通,0.248,2026-06-15,20260701-0918
600061.SH,国投资本,0.06,2026-06-15,20260701-0918
600066.SH,宇通客车,0.135,2026-06-15,20260701-0918
600085.SH,同仁堂,0.061,2026-06-15,20260701-0918
600089.SH,特变电工,0.433,2026-06-15,20260701-0918
600104.SH,上汽集团,0.179,2026-06-15,20260701-0918
600111.SH,北方稀土,0.46,2026-06-15,20260701-0918
600115.SH,中国东航,0.126,2026-06-15,20260701-0918
600118.SH,中国卫星,0.161,2026-06-15,20260701-0918
600150.SH,中国船舶,0.584,2026-06-15,20260701-0918
600160.SH,巨化股份,0.226,2026-06-15,20260701-0918
600176.SH,中国巨石,0.396,2026-06-15,20260701-0918
600183.SH,生益科技,0.873,2026-06-15,20260701-0918
600188.SH,兖矿能源,0.136,2026-06-15,20260701-0918
600196.SH,复星医药,0.102,2026-06-15,20260701-0918
600219.SH,南山铝业,0.119,2026-06-15,20260701-0918
600221.SH,海航控股,0.141,2026-06-15,20260701-0918
600233.SH,圆通速递,0.105,2026-06-15,20260701-0918
600276.SH,恒瑞医药,0.77,2026-06-15,20260701-0918
600309.SH,万华化学,0.497,2026-06-15,20260701-0918
600346.SH,恒力石化,0.141,2026-06-15,20260701-0918
600362.SH,江西铜业,0.177,2026-06-15,20260701-0918
600372.SH,中航机载,0.097,2026-06-15,20260701-0918
600406.SH,国电南瑞,0.339,2026-06-15,20260701-0918
600415.SH,小商品城,0.112,2026-06-15,20260701-0918
600426.SH,华鲁恒升,0.151,2026-06-15,20260701-0918
600436.SH,片仔癀,0.129,2026-06-15,20260701-0918
600438.SH,通威股份,0.132,2026-06-15,20260701-0918
600460.SH,士兰微,0.148,2026-06-15,20260701-0918
600482.SH,中国动力,0.13,2026-06-15,20260701-0918
600489.SH,中金黄金,0.236,2026-06-15,20260701-0918
600515.SH,海南机场,0.061,2026-06-15,20260701-0918
600519.SH,贵州茅台,2.86,2026-06-15,20260701-0918
600522.SH,中天科技,0.505,2026-06-15,20260701-0918
600547.SH,山东黄金,0.186,2026-06-15,20260701-0918
600549.SH,厦门钨业,0.285,2026-06-15,20260701-0918
600570.SH,恒生电子,0.123,2026-06-15,20260701-0918
600584.SH,长电科技,0.383,2026-06-15,20260701-0918
600585.SH,海螺水泥,0.159,2026-06-15,20260701-0918
600588.SH,用友网络,0.075,2026-06-15,20260701-0918
600600.SH,青岛啤酒,0.076,2026-06-15,20260701-0918
600660.SH,福耀玻璃,0.302,2026-06-15,20260701-0918
600674.SH,川投能源,0.108,2026-06-15,20260701-0918
600690.SH,海尔智家,0.283,2026-06-15,20260701-0918
600741.SH,华域汽车,0.097,2026-06-15,20260701-0918
600760.SH,中航沈飞,0.177,2026-06-15,20260701-0918
600795.SH,国电电力,0.161,2026-06-15,20260701-0918
600803.SH,新奥股份,0.059,2026-06-15,20260701-0918
600809.SH,山西汾酒,0.21,2026-06-15,20260701-0918
600845.SH,宝信软件,0.056,2026-06-15,20260701-0918
600875.SH,东方电气,0.172,2026-06-15,20260701-0918
600886.SH,国投电力,0.119,2026-06-15,20260701-0918
600887.SH,伊利股份,0.579,2026-06-15,20260701-0918
600893.SH,航发动力,0.183,2026-06-15,20260701-0918
600900.SH,长江电力,1.214,2026-06-15,20260701-0918
600905.SH,三峡能源,0.215,2026-06-15,20260701-0918
600918.SH,中泰证券,0.062,2026-06-15,20260701-0918
600919.SH,江苏银行,0.624,2026-06-15,20260701-0918
600926.SH,杭州银行,0.297,2026-06-15,20260701-0918
600930.SH,华电新能,0.07,2026-06-15,20260701-0918
600938.SH,中国海油,0.274,2026-06-15,20260701-0918
600941.SH,中国移动,0.306,2026-06-15,20260701-0918
