trade_date,stock_code,stock_name,source_weight_date,source_weight_pct,projected_weight_pct,base_close,close_price,share_factor,relative_value,cumulative_cash_dividend_per_base_share
20260622,300308.SZ,中际旭创,20260615,4.998,5.3627924058309215,1245.0,1382.33,1.0,0.05549305493975904,0.0
20260622,300750.SZ,宁德时代,20260615,3.7900000000000005,3.762716128190105,398.1,408.98,1.0,0.03893580005023863,0.0
20260622,300502.SZ,新易盛,20260615,2.713,2.813325690178615,540.49,579.97,1.0,0.029111706229532464,0.0
20260622,600519.SH,贵州茅台,20260615,2.86,2.6993170993526228,1271.1,1241.41,1.0,0.027931969160569593,0.0
20260622,601318.SH,中国平安,20260615,2.081,1.9276185762582494,54.23,51.98,1.0,0.019946594136087036,0.0
20260622,601899.SH,紫金矿业,20260615,1.8579999999999999,1.7456599255633622,31.31,30.44,1.0,0.01806372404982434,0.0
20260622,600036.SH,招商银行,20260615,1.736,1.6216592040191495,38.95,37.65,1.0,0.016780590500641845,0.0
20260622,603986.SH,兆易创新,20260615,1.245,1.6019618510703861,518.0,689.7,1.0,0.016576766409266412,0.0
20260622,688256.SH,寒武纪,20260615,1.51,1.5925922740912195,1335.0,1456.99,1.0,0.016479811985018727,0.0
20260622,000333.SZ,美的集团,20260615,1.417,1.3245351221694461,80.93,78.28,1.0,0.013706012603484493,0.0
20260622,002475.SZ,立讯精密,20260615,1.251,1.2133885800164843,68.15,68.4,1.0,0.01255589141599413,0.0
20260622,002384.SZ,东山精密,20260615,1.105,1.2072614178015024,239.31,270.55,1.0,0.012492488822030003,0.0
20260622,600900.SH,长江电力,20260615,1.214,1.1463886140184156,27.57,26.94,1.0,0.011862589771490751,0.0
20260622,002371.SZ,北方华创,20260615,1.063,1.1218051828742823,682.22,745.0,1.0,0.011608205564187504,0.0
20260622,688008.SH,澜起科技,20260615,0.991,1.117041796289462,240.1,280.05,1.0,0.011558915035401917,0.0
20260622,601138.SH,工业富联,20260615,1.049,1.0894283738736144,73.4,78.88,1.0,0.01127317711171662,0.0
20260622,688041.SH,海光信息,20260615,1.002,1.0588400070274775,299.32,327.3,1.0,0.010956655084859013,0.0
20260622,601166.SH,兴业银行,20260615,1.111,1.044211514469989,18.23,17.73,1.0,0.010805282501371366,0.0
20260622,688981.SH,中芯国际,20260615,0.9399999999999998,1.0132921693732213,130.52,145.59,1.0,0.010485335580753905,0.0
20260622,600030.SH,中信证券,20260615,0.9439999999999998,0.9727278529058161,26.86,28.64,1.0,0.010065584512285926,0.0
20260622,688012.SH,中微公司,20260615,0.8630000000000001,0.9715078507540301,319.98,372.74,1.0,0.010052960185011563,0.0
20260622,600183.SH,生益科技,20260615,0.873,0.9353702344058168,166.41,184.5,1.0,0.009679015684153596,0.0
20260622,300059.SZ,东方财富,20260615,0.861,0.9236809268850288,18.89,20.97,1.0,0.009558057173107462,0.0
20260622,603259.SH,药明康德,20260615,0.885,0.9194615258279862,99.37,106.83,1.0,0.00951439569286505,0.0
20260622,000725.SZ,京东方A,20260615,0.775,0.8767294243154132,5.92,6.93,1.0,0.009072212837837837,0.056
20260622,002594.SZ,比亚迪,20260615,0.8880000000000001,0.8276340436784251,90.82,87.59,1.0,0.008564184100418412,0.0
20260622,300274.SZ,阳光电源,20260615,0.779,0.82532245386557,149.1,163.46,1.0,0.008540264252179745,0.0
20260622,601398.SH,工商银行,20260615,0.882,0.8106951111205019,7.57,7.2,1.0,0.0083889035667107,0.0
20260622,300476.SZ,胜宏科技,20260615,0.757,0.7759389418320939,344.5,365.4,1.0,0.008029253991291726,0.0
20260622,600276.SH,恒瑞医药,20260615,0.77,0.7671213791782806,47.88,49.36,1.0,0.007938011695906433,0.0
20260622,300394.SZ,天孚通信,20260615,0.719,0.7428512931818263,305.04,326.12,1.0,0.007686869918699185,0.0
20260622,300408.SZ,三环集团,20260615,0.726,0.7289625473647336,150.25,156.11,1.0,0.007543152079866888,0.0
20260622,601211.SH,国泰海通,20260615,0.711,0.7130315923203764,17.49,18.15,1.0,0.007378301886792452,0.0
20260622,002463.SZ,沪电股份,20260615,0.649,0.6811093285813073,133.76,145.26,1.0,0.007047976973684211,0.0
20260622,603993.SH,洛阳钼业,20260615,0.657,0.6570734844383355,20.92,21.65,1.0,0.006799259082217972,0.0
20260622,601288.SH,农业银行,20260615,0.691,0.6397847895904186,6.68,6.4,1.0,0.006620359281437126,0.0
20260622,601328.SH,交通银行,20260615,0.673,0.620691096912246,7.01,6.69,1.0,0.0064227817403709,0.0
20260622,000988.SZ,华工科技,20260615,0.583,0.6113181693557268,160.98,174.67,1.0,0.006325792645049074,0.0
20260622,600150.SH,中国船舶,20260615,0.584,0.586688781545936,35.91,37.33,1.0,0.0060709328877749935,0.0
20260622,000338.SZ,潍柴动力,20260615,0.569,0.5856233573373731,29.38,31.29,1.0,0.006059908100748808,0.0
20260622,000651.SZ,格力电器,20260615,0.611,0.5768956761078773,37.86,36.99,1.0,0.005969595879556261,0.0
20260622,600919.SH,江苏银行,20260615,0.624,0.5718802083096547,11.81,11.2,1.0,0.005917696867061811,0.0
20260622,600522.SH,中天科技,20260615,0.505,0.5667194153692094,51.35,59.63,1.0,0.005864294060370009,0.0
20260622,301308.SZ,江波龙,20260615,0.484,0.5445612822338869,529.23,616.16,1.0,0.00563500632995106,0.0
20260622,600887.SH,伊利股份,20260615,0.579,0.5423637595077871,25.41,24.63,1.0,0.005612266824085006,0.0
20260622,000858.SZ,五 粮 液,20260615,0.556,0.5165300862156618,79.63,76.55,1.0,0.0053449453723471065,0.0
20260622,688072.SH,拓荆科技,20260615,0.477,0.5148779827874349,669.69,748.01,1.0,0.005327849751377503,0.0
20260622,600176.SH,中国巨石,20260615,0.396,0.4881246233505822,45.77,58.38,1.0,0.005051011579637317,0.0
20260622,600309.SH,万华化学,20260615,0.49699999999999994,0.485523455471623,73.5,74.3,1.0,0.005024095238095237,0.0
20260622,600111.SH,北方稀土,20260615,0.45999999999999996,0.4769527309951779,50.47,54.15,1.0,0.004935407172577769,0.0
20260622,601816.SH,京沪高铁,20260615,0.515,0.4741858610510002,4.87,4.64,1.0,0.004906776180698152,0.0
20260622,600584.SH,长电科技,20260615,0.383,0.4548402426917521,74.32,91.33,1.0,0.004706591765339075,0.0
20260622,300124.SZ,汇川技术,20260615,0.473,0.4547937927558755,69.3,68.95,1.0,0.004706111111111111,0.0
20260622,603019.SH,中科曙光,20260615,0.45000000000000007,0.45304400576964104,85.45,89.02,1.0,0.004688004681100058,0.0
20260622,000063.SZ,中兴通讯,20260615,0.432,0.44226900779756717,37.22,39.43,1.0,0.004576507254164428,0.0
20260622,600089.SH,特变电工,20260615,0.43299999999999994,0.4407663031787105,23.81,25.08,1.0,0.0045609575808483824,0.0
20260622,601857.SH,中国石油,20260615,0.4719999999999999,0.43587329598116603,10.13,9.68,1.0,0.004510325765054292,0.0
20260622,002028.SZ,思源电气,20260615,0.399,0.43584615770263563,178.0,201.2,1.0,0.004510044943820225,0.0
20260622,002916.SZ,深南电路,20260615,0.392,0.43334602440838726,399.8,457.34,1.0,0.004484174087043521,0.0
20260622,601688.SH,华泰证券,20260615,0.428,0.43250786438627215,20.36,21.29,1.0,0.004475500982318271,0.0
20260622,600000.SH,浦发银行,20260615,0.457,0.4244935786865461,9.53,9.16,1.0,0.004392570828961176,0.0
20260622,002415.SZ,海康威视,20260615,0.4050000000000001,0.4184065180409551,30.71,32.83,1.0,0.004329583197655487,0.0
20260622,688521.SH,芯原股份,20260615,0.359,0.415524804927021,237.12,284.0,1.0,0.0042997638326585695,0.0
20260622,601088.SH,中国神华,20260615,0.42899999999999994,0.39661828052865183,43.39,41.51,1.0,0.004104123069831758,0.0
20260622,600031.SH,三一重工,20260615,0.4099999999999999,0.391264502461249,19.19,18.95,1.0,0.004048723293381969,0.0
20260622,601601.SH,中国太保,20260615,0.4099999999999999,0.3766769583725016,33.25,31.61,1.0,0.0038977744360902252,0.0
