trade_date,stock_code,stock_name,source_weight_date,source_weight_pct,projected_weight_pct,base_close,close_price,share_factor,relative_value,cumulative_cash_dividend_per_base_share
20260630,300308.SZ,中际旭创,20260630,5.008,5.007599392048636,1270.0,1270.0,1.0,0.05008,0.0
20260630,300750.SZ,宁德时代,20260630,3.675,3.6747060235181177,393.01,393.01,1.0,0.03675,0.0
20260630,300502.SZ,新易盛,20260630,2.992,2.991760659147268,607.0,607.0,1.0,0.02992,0.0
20260630,600519.SH,贵州茅台,20260630,2.62,2.6197904167666586,1185.49,1185.49,1.0,0.0262,0.0
20260630,603986.SH,兆易创新,20260630,1.925,1.9248460123190143,815.0,815.0,1.0,0.01925,0.0
20260630,601318.SH,中国平安,20260630,1.799,1.7988560915126788,47.74,47.74,1.0,0.01799,0.0
20260630,688256.SH,寒武纪,20260630,1.772,1.7718582513398928,1595.55,1595.55,1.0,0.01772,0.0
20260630,600036.SH,招商银行,20260630,1.554,1.5538756899448043,35.5,35.5,1.0,0.01554,0.0
20260630,601899.SH,紫金矿业,20260630,1.465,1.46488280937525,25.14,25.14,1.0,0.014650000000000002,0.0
20260630,002371.SZ,北方华创,20260630,1.354,1.3538916886649068,884.56,884.56,1.0,0.013540000000000002,0.0
20260630,000333.SZ,美的集团,20260630,1.299,1.2988960883129348,75.53,75.53,1.0,0.01299,0.0
20260630,002475.SZ,立讯精密,20260630,1.27,1.2698984081273497,70.4,70.4,1.0,0.0127,0.0
20260630,688008.SH,澜起科技,20260630,1.256,1.2558995280377567,309.9,309.9,1.0,0.01256,0.0
20260630,688012.SH,中微公司,20260630,1.242,1.2419006479481642,468.5,468.5,1.0,0.012420000000000002,0.0
20260630,688041.SH,海光信息,20260630,1.217,1.2169026477881768,370.3,370.3,1.0,0.01217,0.0
20260630,002384.SZ,东山精密,20260630,1.189,1.1889048876089914,262.35,262.35,1.0,0.011890000000000001,0.0
20260630,600900.SH,长江电力,20260630,1.145,1.1449084073274136,26.47,26.47,1.0,0.01145,0.0
20260630,688981.SH,中芯国际,20260630,1.144,1.1439084873210141,158.82,158.82,1.0,0.011439999999999999,0.0
20260630,000725.SZ,京东方A,20260630,1.116,1.1159107271418287,8.68,8.68,1.0,0.011160000000000002,0.0
